,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
45,臺北市中正區水源路61~90號,11.9,15.0,4,2,153.77,3,1,2,1,42630000,293421,RPQNMLOLKHPFFAA57CA,1,1,1,108,902833.8461538461,36.61538461538461,473.13846153846157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
46,臺北市中正區水源路61~90號,11.9,15.0,4,2,153.77,3,1,2,1,46190000,319130,RPTOMLMJKIOFFAA57CA,1,1,1,108,981938.4615384615,36.61538461538461,473.13846153846157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
47,臺北市中正區水源路61~90號,11.5,15.0,4,2,148.79999999999998,3,1,2,1,40770000,290412,RPOQMLTLJIOFFAA08CA,1,1,1,108,893575.3846153846,35.38461538461539,457.84615384615375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
48,臺北市中正區水源路61~90號,11.57,15.0,4,2,149.5,3,1,2,1,42630000,302757,RPQQMLTLJIOFFAA28CA,1,1,1,108,931560.0,35.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
49,臺北市中正區水源路61~90號,11.57,15.0,4,2,149.5,3,1,2,1,40980000,290462,RPRQMLTLJIOFFAA38CA,1,1,1,108,893729.2307692308,35.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
50,臺北市中正區水源路61~90號,11.5,15.0,4,2,148.79999999999998,3,1,2,1,42550000,303745,RPSQMLTLJIOFFAA48CA,1,1,1,108,934600.0,35.38461538461539,457.84615384615375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
51,臺北市中正區水源路61~90號,11.57,15.0,4,2,149.5,3,1,2,1,42360000,300745,RPRPMLTLJIOFFAA28CA,1,1,1,108,925369.2307692308,35.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
52,臺北市中正區水源路61~90號,11.9,15.0,4,2,153.77,3,1,2,1,44150000,304398,RPWQMLTLJIOFFAA88CA,1,1,1,108,936609.2307692308,36.61538461538461,473.13846153846157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
53,臺北市中正區水源路61~90號,11.86,15.0,4,2,137.76,3,1,2,1,41840000,303717,RPORMLTLJIOFFAA18CA,1,1,0,108,934513.8461538461,36.49230769230769,423.87692307692305,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
54,臺北市中正區羅斯福路二段66巷1~30號,22.84,11.0,4,30,177.48,5,2,2,0,35500000,200023,RPRPMLPLJIOFFAA87CA,2,1,0,108,615455.3846153846,70.27692307692307,546.0923076923076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0273552,121.5216878
