,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
81,5.0,4,40,3,2,2,0,1,1,0,108,612427.6923076923,101.3846153846154,358.64615384615377,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
82,5.0,4,34,3,2,2,0,1,1,0,108,609292.3076923076,76.30769230769229,292.12307692307684,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,5.0,4,9,2,1,1,1,1,1,1,108,986218.4615384616,48.646153846153844,240.95384615384614,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
84,14.0,4,34,3,2,2,1,2,1,0,108,673541.5384615384,60.24615384615384,331.44615384615383,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
85,12.0,4,33,2,2,1,1,2,1,0,108,718984.6153846155,88.83076923076923,289.6923076923077,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
86,4.0,4,44,4,2,1,0,1,1,0,108,268590.76923076925,126.15384615384615,334.86153846153843,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
87,1,2,64,0,0,0,0,1,1,0,108,578304.6153846154,150.76923076923075,120.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88,5.0,4,38,4,2,2,0,1,1,0,108,407640.0,77.50769230769231,313.53846153846155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
89,3.0,3,51,0,0,0,0,1,1,0,108,267732.3076923077,80.0,236.9230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,9.0,4,3,3,2,2,1,1,1,1,108,800356.923076923,49.44615384615385,435.6923076923077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
91,7.0,4,37,3,2,2,1,1,1,0,108,497898.4615384615,82.7076923076923,386.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
